,date,sentiment,status_id,n
1,2/5/2017,positive,8.28375E+17,2
2,2/6/2017,negative,8.28574E+17,3
3,2/6/2017,negative,8.28576E+17,2
4,2/6/2017,negative,8.28643E+17,3
5,2/6/2017,positive,8.28447E+17,4
6,2/6/2017,positive,8.28574E+17,1
7,2/6/2017,positive,8.28749E+17,2
8,2/7/2017,negative,8.28794E+17,3
9,2/7/2017,negative,8.28798E+17,3
10,2/7/2017,negative,8.28939E+17,4
11,2/7/2017,positive,8.28794E+17,1
12,2/7/2017,positive,8.28798E+17,1
13,2/7/2017,positive,8.29003E+17,4
14,2/8/2017,negative,8.29134E+17,3
15,2/8/2017,negative,8.29315E+17,3
16,2/8/2017,negative,8.29357E+17,2
17,2/8/2017,negative,8.29358E+17,1
18,2/8/2017,negative,8.29385E+17,1
19,2/8/2017,positive,8.293E+17,1
20,2/8/2017,positive,8.2935E+17,3
21,2/8/2017,positive,8.29357E+17,2
22,2/8/2017,positive,8.29358E+17,2
23,2/8/2017,positive,8.29385E+17,1
24,2/8/2017,positive,8.2941E+17,3
25,2/8/2017,positive,8.29414E+17,1
26,2/8/2017,positive,8.29446E+17,3
27,2/8/2017,positive,8.29452E+17,2
28,2/9/2017,negative,8.29661E+17,1
29,2/9/2017,negative,8.29681E+17,2
30,2/9/2017,negative,8.29683E+17,3
31,2/9/2017,negative,8.29684E+17,2
32,2/9/2017,negative,8.29689E+17,2
33,2/9/2017,positive,8.29497E+17,1
34,2/9/2017,positive,8.29681E+17,1
35,2/9/2017,positive,8.29683E+17,1
36,2/9/2017,positive,8.29684E+17,2
37,2/9/2017,positive,8.29689E+17,3
38,2/10/2017,negative,8.30042E+17,2
39,2/10/2017,negative,8.30048E+17,2
40,2/10/2017,positive,8.30042E+17,1
41,2/10/2017,positive,8.30048E+17,1
42,2/11/2017,negative,8.30389E+17,3
43,2/11/2017,negative,8.3041E+17,1
44,2/11/2017,negative,8.30552E+17,2
45,2/11/2017,negative,8.30558E+17,1
46,2/11/2017,positive,8.30389E+17,1
47,2/11/2017,positive,8.30406E+17,1
48,2/11/2017,positive,8.30407E+17,1
49,2/11/2017,positive,8.3041E+17,1
50,2/11/2017,positive,8.30484E+17,1
51,2/11/2017,positive,8.30552E+17,2
52,2/11/2017,positive,8.30556E+17,2
53,2/11/2017,positive,8.30558E+17,1
54,2/12/2017,negative,8.30742E+17,1
55,2/12/2017,negative,8.30747E+17,1
56,2/12/2017,negative,8.30752E+17,3
57,2/12/2017,negative,8.30904E+17,3
58,2/12/2017,positive,8.30618E+17,1
59,2/12/2017,positive,8.30742E+17,1
60,2/12/2017,positive,8.30765E+17,1
61,2/12/2017,positive,8.30769E+17,3
62,2/12/2017,positive,8.30804E+17,2
63,2/12/2017,positive,8.30904E+17,1
64,2/13/2017,positive,8.31169E+17,1
65,2/13/2017,positive,8.31186E+17,1
66,2/13/2017,positive,8.31214E+17,2
67,2/14/2017,negative,8.31511E+17,3
68,2/14/2017,negative,8.31637E+17,1
69,2/14/2017,positive,8.31336E+17,1
70,2/14/2017,positive,8.31345E+17,2
71,2/14/2017,positive,8.31599E+17,1
72,2/14/2017,positive,8.31621E+17,1
73,2/15/2017,negative,8.31831E+17,6
74,2/15/2017,negative,8.31838E+17,2
75,2/15/2017,negative,8.3184E+17,2
76,2/15/2017,negative,8.31843E+17,1
77,2/15/2017,negative,8.31854E+17,2
78,2/15/2017,negative,8.3198E+17,1
79,2/15/2017,negative,8.32017E+17,2
80,2/15/2017,positive,8.31831E+17,1
81,2/15/2017,positive,8.3184E+17,2
82,2/15/2017,positive,8.31843E+17,1
83,2/15/2017,positive,8.31846E+17,1
84,2/15/2017,positive,8.31854E+17,2
85,2/15/2017,positive,8.31905E+17,1
86,2/15/2017,positive,8.31946E+17,1
87,2/16/2017,negative,8.32198E+17,5
88,2/16/2017,negative,8.32231E+17,1
89,2/16/2017,negative,8.32238E+17,3
90,2/16/2017,positive,8.32191E+17,4
91,2/16/2017,positive,8.32231E+17,2
92,2/16/2017,positive,8.32375E+17,1
93,2/17/2017,negative,8.32533E+17,1
94,2/17/2017,negative,8.32556E+17,1
95,2/17/2017,negative,8.32708E+17,4
96,2/17/2017,negative,8.3273E+17,2
97,2/17/2017,positive,8.32533E+17,1
98,2/17/2017,positive,8.32556E+17,4
99,2/17/2017,positive,8.3273E+17,1
100,2/18/2017,negative,8.32946E+17,2
101,2/18/2017,positive,8.32946E+17,1
102,2/20/2017,negative,8.33682E+17,2
103,2/20/2017,positive,8.33682E+17,1
104,2/20/2017,positive,8.33686E+17,2
105,2/21/2017,negative,8.34142E+17,2
106,2/21/2017,negative,8.34182E+17,2
107,2/21/2017,positive,8.33838E+17,1
108,2/22/2017,positive,8.34377E+17,2
109,2/22/2017,positive,8.34385E+17,3
110,2/23/2017,positive,8.34899E+17,1
111,2/24/2017,negative,8.34916E+17,1
112,2/24/2017,negative,8.35105E+17,1
113,2/24/2017,negative,8.35106E+17,1
114,2/24/2017,negative,8.35174E+17,1
115,2/24/2017,positive,8.35174E+17,1
116,2/25/2017,negative,8.35326E+17,5
117,2/25/2017,negative,8.35479E+17,1
118,2/25/2017,positive,8.35326E+17,1
119,2/25/2017,positive,8.35466E+17,1
120,2/25/2017,positive,8.35481E+17,2
121,2/25/2017,positive,8.35609E+17,2
122,2/25/2017,positive,8.35611E+17,2
123,2/26/2017,negative,8.35817E+17,3
124,2/26/2017,negative,8.35917E+17,3
125,2/26/2017,positive,8.35815E+17,1
126,2/26/2017,positive,8.35817E+17,3
